Exercise,Multiplier
"Sailing, boat/board, windsurfing, general",0.022692308
"Sailing, in competition",0.037820513
"Scrubbing floors, on hands and knees",0.041666667
Sewing,0.006538462
"Sex, active",0.037142857
Shopping,0.028
"Shoveling snow, by hand",0.045384615
"Shuffleboard, lawn bowling",0.022692308
Sitting,0.006538462
"Sitting, reading or watching TV",0.008
"Sitting, playing with children, light",0.018974359
Skateboarding,0.037820513
"Skating, ice, 9 mph or less",0.041666667
"Skating, ice, general",0.052948718
"Skating, ice, rapidly, > 9 mph",0.068076923
"Skating, ice, speed, competitive",0.113461538
"Skating, roller",0.052948718
"Ski jumping, climb up carrying skis",0.052948718
"Ski machine, general",0.071923077
"Skiing, cross-country ",0.053229167
"Skiing, cross-country, >8.0 mph, racing",0.105897436
"Skiing, cross-country, moderate effort",0.060512821
"Skiing, cross-country, slow or light effort",0.052948718
"Skiing, cross-country, uphill, maximum effort",0.124871795
"Skiing, cross-country, vigorous effort",0.068076923
"Skiing, downhill ",0.038020833
"Skiing, downhill, light effort",0.037820513
"Skiing, downhill, moderate effort",0.045384615
"Skiing, downhill, vigorous effort, racing",0.060512821
"Skiing, snow, general",0.052948718
"Skiing, water",0.045384615
"Skiing, water ",0.045625
"Ski-mobiling, water",0.052948718
"Skin diving, scuba diving, general",0.052948718
Skipping with rope,0.054615385
"Sledding, tobogganing, bobsledding, luge",0.052948718
Sleeping,0.004230769
Snorkeling,0.037820513
Snow shoeing,0.060512821
"Snow shoveling, heavy",0.131428571
"Snow shoveling, light",0.075238095
Snowmobiling,0.026538462
"Soccer, casual, general",0.052948718
"Soccer, competitive",0.075641026
Softball or baseball ,0.038020833
"Softball or baseball, fast or slow pitch",0.037820513
"Softball, officiating",0.045384615
"Squash, exercise",0.050769231
"Squash, game",0.090769231
"Stair Climbing, normal speed",0.056190476
Stair treadmill ,0.0684375
"Stair treadmill ergometer, general",0.045384615
Standing,0.007692308
"Standing, packing/unpacking boxes",0.026538462
Step Aerobics,0.043076923
"Stretching, hatha yoga",0.03025641
"Surfing, body or board",0.022692308
"Sweeping garage, sidewalk",0.03025641
Swimming (crawl and moderate pace),0.065
"Swimming laps, freestyle, fast, vigorous effort",0.075641026
"Swimming laps, freestyle, light/moderate effort",0.060512821
"Swimming, active",0.039230769
"Swimming, backstroke, general",0.060512821
"Swimming, breaststroke, general",0.075641026
"Swimming, butterfly, general",0.083205128
"Swimming, laps ",0.053229167
"Swimming, leisurely, general",0.045384615
"Swimming, sidestroke, general",0.060512821
"Swimming, sychronized",0.060512821
"Swimming, treading water, fast/vigorous",0.075641026
"Swimming, treading water, moderate effort",0.03025641
"Table tennis, ping pong",0.03025641
Tae kwon do ,0.076041667
Tai chi ,0.030416667
Teaching aerobics class,0.045384615
"Tennis, game, singles ",0.074285714
"Tennis, game, doubles",0.045384615
"Tennis, general",0.052948718
Unicycling,0.037820513
Volleyball ,0.030416667
"Volleyball, beach",0.060512821
"Volleyball, competitive, in gymnasium",0.03025641
"Volleyball, noncompetitive; 6-9 member team",0.022692308
"Walk/run, playing with children, moderate",0.03025641
"Walk/run, playing with children, vigorous",0.037820513
Walking,0.054166667
Walking (15 min/mile),0.0352
Walking upstairs,0.12
"Walking, 2 mph ",0.0190625
"Walking, 2.0 mph, slow pace",0.018974359
"Walking, 3.0 mph, mod. pace, walking dog",0.026538462
"Walking, 3.5 mph ",0.028854167
"Walking, 3.5 mph, uphill",0.045384615
"Walking, 3mph",0.021538462
"Walking, 4.0 mph, very brisk pace",0.03025641
"Walking, carrying infant or 15-lb load",0.026538462
"Walking, grass track",0.037820513
"Walking, upstairs",0.060512821
"Walking, using crutches",0.03025641
"Wallyball, general",0.052948718
Water Aerobics,0.030769231
Water polo,0.075641026
Water volleyball,0.022692308
"Weight lifting or body building, vigorous effort",0.045384615
"Weight lifting, light or moderate effort",0.022692308
Weight Training,0.055
"Weightlifting, free weight, Nautilus or universal type ",0.0228125
"Whitewater rafting, kayaking, or canoeing ",0.037820513

